-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us       2.130ms         0.15%       2.130ms      16.642us           128
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.978ms         0.14%       1.978ms      14.984us           132
                     nvjet_tst_64x48_64x15_1x4_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.700ms         0.12%       1.700ms      13.281us           128
                                        nccl:all_gather         0.00%       0.000us         0.00%       0.000us       0.000us       1.680ms         0.12%       1.680ms      52.509us            32
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.643ms         0.12%       1.643ms      12.834us           128
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       1.621ms         0.12%       1.621ms      45.040us            36
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.565ms         0.11%       1.565ms      40.123us            39
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       1.267ms         0.09%       1.267ms     316.772us             4
                                             aten::silu         0.01%     148.852us         0.07%       1.388ms      49.565us     986.165us         0.07%     986.165us      35.220us            28
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     966.581us         0.07%     966.581us      48.329us            20
                                            aten::rsqrt         0.14%       2.842ms         0.40%       8.039ms      15.700us     930.480us         0.07%     930.480us       1.817us           512
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     930.480us         0.07%     930.480us       1.817us           512
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     910.033us         0.07%     910.033us       1.777us           512
                                         aten::scatter_         0.00%      18.055us         0.04%     901.586us     450.793us     862.677us         0.06%     862.677us     431.338us             2
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     862.677us         0.06%     862.677us     431.338us             2
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     813.974us         0.06%     813.974us      90.442us             9
fmha_cutlassF_f16_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us     760.278us         0.05%     760.278us     760.278us             1
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     720.473us         0.05%     720.473us      30.020us            24
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     695.828us         0.05%     695.828us      69.583us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 2.012s
Self CUDA time total: 1.389s
